dia, 2, 3
bs_t, 2, 4
bs_t, 3, 4
bs_t, 4, 4
bs_t, 5, 4
bs_t, 6, 4
bs_t, 7, 4
bs_t, 8, 4
bs_t, 9, 4
bs_t, 10, 4
bs_t, 11, 4
bs_t, 12, 4
bs_t, 13, 4
bs_t, 14, 4
bs_t, 15, 4
bs_t, 16, 4
bc_tr, 17, 4
bcp_tr, 1, 4
bs_r, 1, 3
bs_r, 1, 2
bcp_br, 1, 1
bs_b, 2, 1
bs_b, 3, 1
bcp_bl, 4, 1
bc_bl, 4, 2
bs_b, 5, 2
bs_b, 6, 2
bs_b, 7, 2
bs_b, 8, 2
bs_b, 9, 2
bs_b, 10, 2
bs_b, 11, 2
bs_b, 12, 2
bs_b, 13, 2
bs_b, 14, 2
bs_b, 15, 2
bs_b, 16, 2
bs_b, 17, 2
bs_b, 18, 2
s_b, 4, 3
s_b, 5, 3
s_b, 6, 3
s_b, 7, 3
s_b, 8, 3
s_b, 9, 3
s_b, 10, 3
s_b, 11, 3
s_b, 12, 3
s_b, 13, 3
s_b, 14, 3
s_b, 15, 3
s_b, 16, 3
s_b, 17, 3
bcp_bl, 19, 2
bs_l, 19, 3
bs_l, 19, 4
bs_l, 19, 5
bs_l, 19, 6
bs_l, 19, 7
bs_l, 19, 8
bs_l, 19, 9
bs_l, 19, 10
bs_l, 19, 11
bs_l, 19, 12
bs_l, 19, 13
bs_l, 19, 14
bs_l, 19, 15
bs_l, 19, 16
bs_l, 19, 17
bs_l, 19, 18
bs_l, 19, 19
bs_l, 19, 20
bcp_tl, 19, 20
bs_t, 18, 20
bs_t, 17, 20
bs_t, 16, 20
bs_t, 15, 20
bs_t, 14, 20
bs_t, 13, 20
bs_t, 12, 20
bs_t, 11, 20
bs_t, 10, 20
bs_t, 9, 20
bs_t, 8, 20
bs_t, 7, 20
bs_t, 6, 20
bs_t, 5, 20
bs_t, 4, 20
bc_tl, 3, 20
bs_l, 3, 21
bs_l, 3, 22
bs_l, 3, 23
bs_l, 3, 24
bs_l, 3, 25
bs_r, 17, 5
bs_r, 17, 6
bs_r, 17, 7
bs_r, 17, 8
bs_r, 17, 9
bs_r, 17, 10
bs_r, 17, 11
bs_r, 17, 12
bs_r, 17, 13
bs_r, 17, 14
bs_r, 17, 15
bs_r, 17, 16
bs_r, 17, 17
bc_br, 17, 18
bs_b, 16, 18
bs_b, 15, 18
bs_b, 14, 18
bs_b, 13, 18
bs_b, 12, 18
bs_b, 11, 18
bs_b, 10, 18
bs_b, 9, 18
bs_b, 8, 18
bs_b, 7, 18
bs_b, 6, 18
bs_b, 5, 18
bs_b, 4, 18
bs_b, 3, 18
bs_b, 2, 18
bs_b, 1, 18
bs_b, 0, 18
s_b, 17, 19
s_b, 16, 19
s_b, 15, 19
s_b, 14, 19
s_b, 13, 19
s_b, 12, 19
s_b, 11, 19
s_b, 10, 19
s_b, 9, 19
s_b, 8, 19
s_b, 7, 19
s_b, 6, 19
s_b, 5, 19
s_b, 4, 19
s_b, 3, 19
p, 1, 20
